#sample	ecDNA_count
SJRHB012_R	2
SJRHB030549_D2	2
SJRHB031244_D1	2
SJRHB031519_D1	1
SJRHB031848_D1	0
SJRHB032029_D2	0
SJST030375_D1	0
SJST030375_R1	0
SJST030375_R2	0
SJST031379_D2	0
SJST031395_D1	1
SJST031620_D1	1
SJST031623_D1	1
SJST031758_D1	0
SJST031890_D1	1
SJST032152_D1	0
SJST032285_D1	0
SJST032330_D1	0
SJST032337_D1	2
SJST032561_D1	1
SJST032574_D1	1
SJST032574_D2	1
SJST032577_D1	0
SJST032843_D1	0
SJST033124_D1	0
SJWLM031333_D1	1
SJWLM031458_D1	0
SJWLM031677_D1	1
SJWLM031998_D1	0
SJWLM032016_D1	0
SJWLM032169_D1	0
SJWLM033062_D1	0
SJWLM033068_D1	0
SJWLM033068_D2	0
SJMB003_D	0
SJMB004_D	2
SJMB008_D	1
SJMB019_D	1
SJMB024_D	0
SJMB027_D	1
SJMB030020_D1	5
SJMB030056_D1	1
SJMB030181_D1	1
SJMB030296_D1	1
SJMB030312_D1	1
SJMB030610_D1	1
SJMB030757_D1	0
SJMB030915_D2	1
SJMB038_D	1
SJMB067_D	0
SJOS001101_M1	1
SJOS010_D	0
SJOS012_D	3
SJRHB012_D	2
SJST030890_D1	0
